,createdAt,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue
249,2020-01-13,FirmyCz,zbozi,80.54,759.0,4.0,4.0,0.0,0.0,
250,2020-01-13,HeurekaCz,heureka,115.17,0.0,27.0,60.0,2.0,2.0,11107.0
251,2020-01-13,Not tracked,notset,0.0,0.0,0.0,0.0,24.0,24.0,
252,2020-01-13,RtbHouse,rtbhouse,1685.42,24267.0,434.0,378.0,6.0,6.0,18349.0
253,2020-01-13,Silverpop,emailing,1290.32,0.0,0.0,1442.0,23.0,23.0,62849.0
254,2020-01-13,Sklik,sklik_bra,101.3,211.0,143.0,157.0,5.0,5.0,27013.0
255,2020-01-13,Sklik,sklik_pla,237.0,3513.0,56.0,56.0,1.0,1.0,704.0
256,2020-01-13,Sklik,sklik_rem,398.2,17061.0,120.0,115.0,4.0,4.0,3182.0
257,2020-01-13,Sklik,sklik_sea,127.24,714.0,51.0,56.0,0.0,0.0,
258,2020-01-13,ZboziCz,zbozi,635.59,2850.0,59.0,48.0,2.0,2.0,4525.0
259,2020-01-13,unpaid,direct,0.0,0.0,0.0,607.0,9.0,8.0,
260,2020-01-13,unpaid,facebook,0.0,0.0,0.0,18.0,0.0,0.0,
261,2020-01-13,unpaid,internal,0.0,0.0,0.0,150.0,0.0,0.0,
262,2020-01-13,unpaid,notset,0.0,0.0,0.0,31.0,2.0,2.0,
263,2020-01-13,unpaid,organic,0.0,0.0,0.0,827.0,11.0,11.0,
264,2020-01-13,unpaid,referral,0.0,0.0,0.0,242.0,0.0,0.0,
265,2020-01-14,AdWords,adwords_bra,191.89,503.0,261.0,307.0,12.0,11.0,25832.0
266,2020-01-14,AdWords,adwords_dsa,492.24,1671.0,71.0,67.0,0.0,0.0,
267,2020-01-14,AdWords,adwords_pla,9395.36,189266.0,2232.0,2363.0,17.0,16.0,33306.0
268,2020-01-14,AdWords,adwords_rem,354.84,14429.0,189.0,227.0,1.0,1.0,3718.0
269,2020-01-14,AdWords,adwords_sea,92.21,634.0,47.0,57.0,0.0,0.0,
270,2020-01-14,FirmyCz,zbozi,80.54,758.0,4.0,1.0,0.0,0.0,
271,2020-01-14,HeurekaCz,heureka,163.82999999999998,0.0,35.0,56.0,2.0,2.0,2122.0
272,2020-01-14,Not tracked,notset,0.0,0.0,0.0,0.0,18.0,16.0,
273,2020-01-14,RtbHouse,rtbhouse,1373.16,24651.0,447.0,321.0,5.0,4.0,12972.0
274,2020-01-14,Silverpop,emailing,1290.32,0.0,0.0,2690.0,51.0,37.0,83963.0
275,2020-01-14,Sklik,sklik_bra,81.0,211.0,143.0,152.0,5.0,4.0,27070.0
276,2020-01-14,Sklik,sklik_pla,323.0,3097.0,72.0,66.0,6.0,6.0,8621.0
277,2020-01-14,Sklik,sklik_rem,354.9,15807.0,110.0,122.0,1.0,1.0,4680.0
278,2020-01-14,Sklik,sklik_sea,147.9,575.0,63.0,58.0,1.0,1.0,2580.0
279,2020-01-14,ZboziCz,zbozi,619.85,2768.0,74.0,52.0,2.0,2.0,9854.0
280,2020-01-14,unpaid,direct,0.0,0.0,0.0,589.0,8.0,7.0,
281,2020-01-14,unpaid,facebook,0.0,0.0,0.0,35.0,0.0,0.0,
282,2020-01-14,unpaid,internal,0.0,0.0,0.0,163.0,0.0,0.0,
283,2020-01-14,unpaid,notset,0.0,0.0,0.0,31.0,0.0,0.0,
284,2020-01-14,unpaid,organic,0.0,0.0,0.0,736.0,12.0,10.0,
285,2020-01-14,unpaid,push,0.0,0.0,0.0,1.0,0.0,0.0,
286,2020-01-14,unpaid,referral,0.0,0.0,0.0,218.0,4.0,3.0,
287,2020-01-15,AdWords,adwords_bra,160.49,478.0,268.0,326.0,14.0,14.0,145330.0
288,2020-01-15,AdWords,adwords_dsa,488.91,1578.0,64.0,67.0,0.0,0.0,
